ts,symbol,open_time,spot_close,mark_close,index_close,premium_close,basis_mark_vs_spot,basis_index_vs_spot,funding_rate,funding_interval_hours,volume,quote_volume,trades,agg_sum_qty,agg_trades,agg_cvd_qty,agg_vwap,agg_last_trade_id,agg_taker_buy_qty,agg_taker_sell_qty,agg_taker_buy_trades,agg_taker_sell_trades,agg_buy_notional,agg_sell_notional,agg_buy_vwap,agg_sell_vwap,agg_first_price,agg_last_price,agg_first_trade_id
2025-01-22 09:15:00+00:00,BNB-USDT,1737537300000,697.95,698.35,698.0337076,0.00044429,0.0005731069561,0.0001199335482,0,8,1388.471,968563.2958,4883,1388.471,2765,-271.145,697.5754595,633589776,558.663,829.808,1178,1587,389681.4876,578881.8082,697.5251405,697.6093364,697.25,697.95,633587012
2025-01-22 09:15:00+00:00,BTC-USDT,1737537300000,105015.42,104999.3591,105015.5807,-0.00015868,-0.0001529389395,1.53E-06,0.0001,8,132.33955,13899246.29,24174,132.33955,9210,9.30159,105027.1539,3394109229,70.82057,61.51898,4486,4724,7437999.545,6461246.745,105025.9768,105028.509,105000.42,105015.42,3394100020
2025-01-22 09:15:00+00:00,ETH-USDT,1737537300000,3297.15,3296,3296.459268,-0.00014376,-0.0003487860728,-0.0002094935657,0.0001,8,3373.319,11114460.97,14178,3373.319,6526,234.6278,3294.814684,1402202578,1803.9734,1569.3456,3059,3467,5944133.533,5170327.44,3295.022828,3294.57542,3294.81,3297.15,1402196053
2025-01-22 09:15:00+00:00,LINK-USDT,1737537300000,25.82,25.81717701,25.81665015,-0.00018766,-0.0001093334624,-0.0001297385747,0.0001,8,25677.03,661194.5354,2166,25677.03,599,-3455.55,25.7504289,258573351,11110.74,14566.29,268,331,286341.235,374853.3004,25.77157192,25.73430162,25.77,25.82,258572753
2025-01-22 09:15:00+00:00,SOL-USDT,1737537300000,254.93,254.78,254.9072283,-0.00049066,-0.0005883968148,-8.93E-05,-2.09E-05,8,27298.617,6969730.045,25507,27298.617,4910,4674.125,255.3144009,484261693,15986.371,11312.246,2602,2308,4080985.662,2888744.383,255.2790537,255.3643532,254.65,254.93,484256784
2025-01-22 09:15:00+00:00,XRP-USDT,1737537300000,3.1663,3.167,3.16652857,0.00024996,0.0002210782301,7.22E-05,0.0001,8,1406866,4450633.497,13813,1406866,3409,-19758,3.163509174,536873995,693554,713312,1643,1766,2194125.769,2256507.728,3.163597599,3.163423198,3.1673,3.1663,536870587
2025-01-22 09:30:00+00:00,ADA-USDT,1737538200000,0.9973,0.99702988,0.99728675,-0.0002028,-0.0002708512985,-1.33E-05,0.0001,8,875137.1,870762.4178,4182,875137.1,1191,52020.7,0.9950011464,367416833,463578.9,411558.2,600,591,461276.6466,409485.7712,0.9950337398,0.9949644332,0.9943,0.9973,367415643
2025-01-22 09:30:00+00:00,BNB-USDT,1737538200000,699.39,699.84,699.4732505,0.00048211,0.0006434178355,0.0001190330574,0,8,3173.593,2217920.911,6538,3173.593,3577,533.349,698.86747,633593353,1853.471,1320.122,1565,2012,1295018.088,922902.8225,698.6988672,699.1041907,697.95,699.39,633589777
2025-01-22 09:30:00+00:00,BTC-USDT,1737538200000,105182.32,105162.7,105175.925,-0.00010269,-0.0001865332501,-6.08E-05,0.0001,8,79.95224,8398200.455,21858,79.95224,8609,-27.57022,105040.2147,3394117838,26.19101,53.76123,4682,3927,2751715.363,5646485.092,105063.3543,105028.9417,105015.42,105182.32,3394109230
2025-01-22 09:30:00+00:00,ETH-USDT,1737538200000,3303.38,3302.32,3303.291951,-0.00022525,-0.0003208834588,-2.67E-05,0.0001,8,2075.3294,6847405.459,12683,2075.3294,5985,127.5592,3299.430663,1402208563,1101.4443,973.8851,3562,2423,3633770.027,3213635.432,3299.095584,3299.80963,3297.15,3303.38,1402202579
